artist;song;duration_ms;explicit;year;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
Nelly;Country Grammar (Hot Shit);287000;VERDADERO;2000;68;865;664;2;-6.822;1;108;689;0.0;142;565;162.831;hip hop, pop, R&B
Nelly Furtado;I'm Like A Bird;243160;FALSO;2000;1;622;608;10;-5.085;1;36;138;5.38e-06;273;607;89.661;hip hop, pop, latin
Nelly Furtado;Turn Off The Light;276106;FALSO;2000;1;587;679;2;-6.26;1;927;839;316;413;0.65;180.184;hip hop, pop, latin
Oasis;Go Let It Out;278666;FALSO;2000;0;408;849;2;-5.631;1;333;136;2.51e-05;0.56;628;84.192;Folk/Acoustic, rock
OPM;Heaven Is a Halfpipe (If I Die);257426;VERDADERO;2000;56;743;894;8;-6.886;1;349;755;283;367;0.77;95.9;rock
Outkast;Ms. Jackson;270506;VERDADERO;2000;82;843;806;4;-5.946;0;269;143;0.0;771;613;94.948;hip hop, pop
P!nk;There You Go;202800;FALSO;2000;55;822;847;10;-6.729;0;917;854;0.0;452;668;107.908;pop
P!nk;Most Girls;298960;FALSO;2000;52;742;732;2;-6.046;0;311;424;446;101;694;97.922;pop
Ricky Martin;She Bangs - English Version;280626;FALSO;2000;60;630;950;1;-4.012;1;806;915;6.51e-06;373;858;143.866;pop, latin
Robbie Williams;Rock DJ;258560;FALSO;2000;68;708;772;7;-4.264;1;322;267;0.0;467;861;103.035;pop, rock
Roger Sanchez;Another Chance;452906;FALSO;2000;50;610;820;3;-10.029;1;312;211;0.146;138;0.45;127.993;Dance/Electronic
Ronan Keating;Life Is A Rollercoaster;234826;FALSO;2000;59;655;791;0;-8.923;1;302;0.1;0;334;862;118.981;pop, rock
Ronan Keating;Lovin' Each Day;212973;FALSO;2000;58;541;899;1;-6.261;1;633;178;2.95e-06;286;829;106.676;pop, rock
Ruff Endz;No More;242560;FALSO;2000;52;839;641;10;-5.669;0;858;324;4.56e-06;602;927;97.004;R&B
Sammie;I Like It;251040;FALSO;2000;55;826;656;9;-8.529;1;617;101;113;272;852;129.963;hip hop, pop, R&B
Shaggy;It Wasn't Me;227600;FALSO;2000;76;853;606;0;-4.596;1;713;561;0.0;313;654;94.759;hip hop, pop
Sonique;It Feels So Good;240866;FALSO;2000;62;634;677;5;-7.278;0;304;117;103;126;558;135.012;pop
Steps;It's the Way You Make Me Feel;197360;FALSO;2000;53;573;665;8;-5.081;1;239;108;2.09e-06;95;347;105.006;pop, Dance/Electronic
Tamia;Stranger in My House;285386;FALSO;2000;48;676;601;0;-4.905;1;297;103;0.0;147;206;119.94;pop, R&B
The Corrs;Breathless;207506;FALSO;2000;68;607;820;11;-7.754;1;597;541;6.8e-05;269;768;126.988;pop, Folk/Acoustic
Toni Braxton;He Wasn't Man Enough;261933;FALSO;2000;66;739;947;11;-1.916;0;411;916;3.14e-05;326;766;88.009;pop, R&B
Vengaboys;Shalala Lala;214819;FALSO;2000;58;751;901;2;-5.802;1;328;504;308;395;973;124.017;pop
Westlife;My Love;231760;FALSO;2000;68;491;593;0;-5.975;1;255;98;0.0;257;328;144.142;pop
112;Peaches & Cream;193093;FALSO;2001;63;677;520;4;-6.255;0;334;277;0.0;532;768;203.862;hip hop, pop, R&B
112;It's Over Now;264933;FALSO;2001;57;660;710;1;-4.541;1;409;106;7.01e-06;736;233;97.988;hip hop, pop, R&B
*NSYNC;Girlfriend;253600;FALSO;2001;50;745;807;0;-5.191;0;884;887;1.49e-05;283;858;93.967;pop
*NSYNC;Gone;292000;FALSO;2001;45;699;403;11;-8.564;0;614;421;0.0;126;0.5;113.922;pop
2Pac;Until The End Of Time;266506;VERDADERO;2001;57;757;706;8;-6.665;1;203;267;0.0;197;375;96.976;hip hop
A1;Caught in the Middle;206466;FALSO;2001;53;519;874;5;-5.122;1;34;524;0.0;243;572;96.072;pop
Afroman;Because I Got High;197760;VERDADERO;2001;68;802;341;7;-8.56;1;488;169;0.0;783;849;166.01;hip hop
Alicia Keys;A Woman's Worth;303333;FALSO;2001;52;652;410;4;-8.323;0;158;333;0.0;64;495;75.09;pop, R&B
Alien Ant Farm;Smooth Criminal;209266;FALSO;2001;75;653;964;9;-4.261;0;582;316;512;144;0.87;126.928;rock, metal
Atomic Kitten;Whole Again;185013;FALSO;2001;66;747;706;4;-4.653;1;413;844;355;174;567;94.019;pop
Atomic Kitten;Eternal Flame - Single Version;195506;FALSO;2001;58;578;581;0;-6.867;1;318;658;42;674;408;83.293;pop
Basement Jaxx;Romeo;217493;FALSO;2001;0;713;829;2;-4.171;1;491;769;203;139;844;126.853;pop, Dance/Electronic
Big Brovaz;Nu Flow;201480;FALSO;2001;45;783;726;7;-8.718;1;106;903;2.53e-06;363;784;148.062;pop
Blu Cantrell;Hit 'Em Up Style (Oops!);250706;FALSO;2001;71;667;773;5;-4.983;0;586;201;0.0;404;667;89.976;pop, R&B
Blue;All Rise;223546;FALSO;2001;63;721;737;5;-2.734;0;324;121;0.0;165;931;97.996;pop
Blue;If You Come Back;207560;FALSO;2001;58;582;707;10;-4.487;1;319;822;0.0;467;701;78.375;pop
Britney Spears;I'm a Slave 4 U;203600;FALSO;2001;69;847;843;5;-3.579;0;106;415;134;107;963;110.027;pop
Britney Spears;Overprotected - Radio Edit;198600;FALSO;2001;61;682;894;0;-1.73;0;727;381;0.0;416;845;95.992;pop
Britney Spears;I'm Not a Girl, Not Yet a Woman;231066;FALSO;2001;58;534;543;3;-6.857;1;245;579;0.0;112;418;78.996;pop
Busta Rhymes;Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix;238600;VERDADERO;2001;55;697;793;6;-4.699;0;323;844;0.0;619;0.56;89.767;hip hop, pop
C̩line Dion;A New Day Has Come - Radio Remix;259773;FALSO;2001;59;574;691;6;-5.103;1;35;826;1.65e-05;149;195;91.969;pop
Case;Missing You;284666;FALSO;2001;55;612;579;1;-6.417;0;553;285;0.0;556;716;86.31;hip hop, pop, R&B
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";264893;FALSO;2001;68;760;801;5;-3.769;1;534;144;1.49e-05;665;653;109.919;pop
